name of company,year included,sector,short description of company,money raised at time of publication,money raised current,revenue at time of publication,valuation at time of publication,most recent valuation month year,notes
11x,2024,AI Applications,Sales automation company,$76 million,$76M,>$8M in annual recurring revenue as of September,$350 million,$350M,
6AM City,2022,Media,Digital newsletter publisher,$21.97 million,$26.38M (Feb 2024),>$7 million projected in 2022,$18 million,$30M (Feb 2024),
9count,2022,Consumer & Creator,Parent company of Consumer & Creator apps,$27.5 million,$27.5M,$11 million projected in 2022,$85 million,$85M,
Accunome Sciences,2021,Asia,Life science and diagnostics tools,$15.45 million,$15.45M,NA,$117 million,$117 million (June 2021),
Action Network,2020,Media,Sports betting news and data,$30 million,$17.5M (May 2021),$20 million annual recurring,>$100 million,$240M (May 2021),Acquired by Better Collective
Adlumin,2023,SaaS & Security,Cyberattack prevention platform,$42 million,$83M,>$20 million annual recurring revenue,$208 million,$208M,
Afterparty,2022,Consumer & Creator,Virtual event platform for creators,$21.04 million,$16.81M (Sept 2023),$5 million projected in 2022,$40 million,$40M (Mar 2022),
Akasa,2020,Data & AI,Telemedicine platform for women's healthcare,$25 million,$205M (Feb 2022),>$3 million on pace to generate annually,$90 million,$1.02B (Feb 2022),Formerly Alpha Health
Alation,2020,Data & AI,Data catalog and governance solutions,$82 million,$340M (Jun 2023),>$50 million generated in the past 12 months,$290 million,$1.75B (November 2022),
Albedo,2023,Defense,Aerial imagery tools,$60 million,$124.59M (Jan 2024),NA,$130 million,$179.36M (Oct 2023),
Alloy,2020,Fintech,Identity verification platform,$57.7 million,$209.5M (Sept 2022),NA,$220 million,$1.55B (Sept 2022),
Alloy Automation,2023,Commerce,Low-code automation platform,$27 million,$27M,<$10 million annual recurring revenue,$100 million post-money,$100M,
Altruist,2021,Fintech,Financial advising platform,$66.46 million,$450M,NA,$350 million,$1.5B (May 2024),
AM Batteries,2023,Energy,Developer of dry electrode batteries (DBE),$30.5 million,$60.5M,NA,$62.5 million,$170M,
Ansa,2023,Fintech & Crypto,Digital wallet provider,$5.6 million,$5.6M,<$2 million annual recurring revenue,$30 million,N/A,
Anyscale,2020,Data & AI,Scalable compute for AI and Python,$60 million,$260M (Sept 2022),NA,~$200 million,$1.01B (September 2022),
AppZen,2021,Data & AI,Autonomous expense auditing software,$102.31 million,$102.31M (Sept 2019),$30 million annualized revenue (run rate),$410 million,$410M (Sept 2019),
Archive,2022,Commerce,Resale technology for ecommerce merchants,$9.33 million,$24.33M (Dec 2022),">$1 million annual recurring, on pace to generate in 2022",$40 million,$80M (Dec 2022),
Aruna,2024,Asia,Indonesian fisherman marketplace,$60 million,$60M,$55M to $60M projected for 2024,$210 million,$210M,
Audius,2021,Crypto,Decentralized music streaming service,$14.9 million,$14.9M,NA,$28 million,$214B (May 2024),
Aviatrix,2020,B2B & Cybersecurity,Networking and cybersecurity software,$72 million,346.8M (Dec 2022),~$20 million on pace to generate annually,$346 million,$2B (Sept 2021),
Badge Inc,2024,SaaS & Security,Identity verification tool,<$100 million,<$100M,>$10M annual recurring revenue,NA,NA,
